"id","grade","ref","tau","lvBeta","lvA","lvEes","laEmax","laEmin","laV0","vStressed","svr","cSys","pvr","hr","LAP","CO","SV","MAP","coMax","winLo","winHi","window","toWet","lap500","lap1000","co500","co1000","lapDiur","coDiur","aftLAP","aftSVpct","aftMAP","surgeLAP","surgeMAP","af70CO","af70LAP","af110CO","af110LAP","af130CO","af130LAP"
"g3-015",3,0,0.06818,0.051494,0.26899,2.6773,1.2101,0.41588,70.744,939.01,1.2953,0.65447,0.079223,70.584,20.373,3.5149,49.795,85.651,3.519,-1320,-320,1000,0,3.6306,7.1698,0.0032579,-0.0079727,-8.0384,-0.15488,1.3973,-12.605,22.502,5.7485,27.974,-10.878,-0.47925,1.591,-0.86531,-6.5012,1.4747
"g3-016",3,0,0.072397,0.054582,0.27405,2.8546,1.3318,0.35879,83.217,1029.7,1.351,0.67695,0.062595,77.472,23.081,3.7614,48.556,95.68,3.7739,-1380,-650,730,0,3.7692,7.4443,0.012481,0.007179,-8.0861,-0.15006,1.3634,-13.289,24.326,5.8705,30.149,-19.37,-0.1867,-9.3544,-0.42866,-17.5,2.0952
"g3-017",3,0,0.059566,0.05548,0.34675,3.0355,0.9604,0.40963,68.702,1038.3,1.3864,0.72286,0.085214,60.839,23.077,2.9233,48.048,78.187,2.9233,-1500,-680,820,0,3.5536,7.0284,-0.0090392,-0.027637,-7.6699,-0.05683,1.3434,-11.62,20.977,5.5405,25.828,1.1927,-1.3807,24.631,-2.4858,17.011,-1.2108
"g3-018",3,0,0.084504,0.059312,0.35517,3.1967,0.94347,0.46077,85.311,997.53,1.436,0.8508,0.061663,59.621,23.339,2.7306,45.8,75.152,2.7306,-1500,-690,810,0,3.6444,7.1792,-0.0045059,-0.019601,-8.0738,-0.078571,1.0719,-11.788,20.165,5.3589,25,2.2006,-1.5393,5.9394,-1.2699,-6.6783,1.334
"g3-019",3,0,0.068864,0.050323,0.34029,2.7444,0.96304,0.51962,67.878,977.69,1.238,0.83764,0.090263,79.08,21.412,3.8587,48.79,89.643,3.8643,-1210,-450,760,0,3.5492,6.9657,0.0053083,-0.0090422,-8.1277,-0.21538,1.4116,-12.907,23.162,5.7132,28.626,-16.574,-0.49369,-4.9647,-0.71046,-12.751,1.6883
"g3-020",3,0,0.069272,0.052198,0.2474,2.8459,0.95557,0.36913,74.823,1103,1.1088,0.75913,0.090356,85.801,22.425,4.4743,52.149,95.494,4.4807,-1380,-620,760,0,3.4452,6.8431,0.0028471,-0.012798,-7.2974,-0.16637,1.5056,-11.967,25.227,5.6654,30.772,-24.511,-0.052272,-12.897,0.34696,-20.104,3.0639
"g3-021",3,0,0.056078,0.057711,0.33366,3.7412,1.4512,0.39284,66.073,1008,1.1904,0.69875,0.10776,76.465,21.346,3.9225,51.297,88.704,3.925,-1460,-460,1000,0,3.5436,7.0253,-0.00029243,-0.013568,-7.7655,-0.14002,1.3646,-10.401,25.633,5.6139,31.222,-17.913,-0.025134,1.9703,-1.1523,-4.1293,0.60526
"g3-022",3,0,0.08795,0.052379,0.30367,2.9347,0.92238,0.41428,79.015,1036.5,1.2533,0.86217,0.081004,67.023,21.597,3.4018,50.752,82.34,3.4022,-1500,-510,990,0,3.451,6.8462,-0.0036034,-0.020919,-7.4032,-0.1019,1.2518,-11.49,22.169,5.3481,27.293,-8.4863,-0.76705,-7.5951,1.0362,-19.804,4.0913
"g3-023",3,0,0.065768,0.049892,0.32138,3.3259,1.4223,0.38621,60.625,1143.1,1.2839,0.83783,0.096423,61.858,21.943,3.5162,56.84,88.347,3.5179,-1870,-590,1280,0,3.3325,6.651,-0.013469,-0.035364,-6.8418,-0.03732,1.4379,-10.038,25.071,5.3789,30.247,-3.0614,-0.91848,12.387,-0.40852,3.7054,2.4602
"g3-024",3,0,0.063858,0.050645,0.34415,3.1182,1.1916,0.35748,51.153,955.98,1.2137,0.80421,0.085007,69.159,19.67,3.7325,53.978,85.417,3.7369,-1320,-240,1080,0,3.4727,6.8837,0.0044106,-0.0096497,-7.6826,-0.16946,1.2701,-11.128,24.005,5.4426,29.563,-10.267,-0.27987,3.4353,-0.69348,-4.8485,1.7125
"g3-025",3,0,0.064653,0.0504,0.32088,3.1638,0.86963,0.35664,69.354,1067.8,1.3006,0.73325,0.075161,70.955,22.004,3.7584,52.979,93.265,3.7584,-1630,-560,1070,0,3.4741,6.907,-0.0070418,-0.025878,-7.3663,-0.079038,1.3635,-11.568,25.41,5.4681,30.773,-11.925,-0.49217,2.8116,-0.62427,-5.1324,1.9595
"g3-026",3,0,0.078443,0.061866,0.29706,3.6522,1.1032,0.37417,75.456,959.9,1.3278,0.76446,0.096822,71.885,21.224,3.4142,47.495,85.309,3.4233,-1240,-420,820,0,3.6599,7.2208,0.0091737,0.0010535,-8.0965,-0.17842,1.1614,-11.28,23.938,5.5473,29.558,-13.43,-0.36257,-8.8265,0.10064,-19.287,3.1013
"g3-027",3,0,0.075914,0.04863,0.32076,2.5391,1.0398,0.39174,80.695,932.92,1.4582,0.80879,0.082435,69.417,19.747,3.2891,47.387,89.467,3.3012,-1230,-240,990,0,3.6122,7.1376,0.012111,0.0064719,-7.8678,-0.17119,1.2895,-13.74,22.37,5.6274,28.196,-10.097,-0.34497,-4.1424,0.064778,-12.839,2.8007
"g3-028",3,0,0.074121,0.045588,0.2623,3.1742,1.0828,0.3434,63.903,1060.4,1.2089,0.93337,0.079421,72.91,18.993,4.3746,59.996,100.54,4.3777,-1440,-160,1280,0,3.2314,6.4725,0.0021251,-0.014523,-6.643,-0.14791,1.2315,-10.672,28.616,5.1087,34.548,-15.222,0.14119,-10.171,2.4777,-20.349,6.3693
